Clinecenter_Brand,Clinecenter_NS,Brandwatch_Brand,Brandwatch_NS,Type
HUA_clinecenter,-0.652,HUA_brandwatch,0.42200000000000004,HUA
HUA_clinecenter,-0.652,HUA_brandwatch,0.42200000000000004,HUA
HUA_clinecenter,-0.652,HUA_brandwatch,0.42200000000000004,HUA
HUA_clinecenter,-0.652,HUA_brandwatch,0.42200000000000004,HUA
HUA_clinecenter,3.4619999999999997,HUA_brandwatch,-3.111,HUA
HUA_clinecenter,3.4619999999999997,HUA_brandwatch,-3.111,HUA
HUA_clinecenter,3.4619999999999997,HUA_brandwatch,-3.111,HUA
HUA_clinecenter,3.4619999999999997,HUA_brandwatch,-3.111,HUA
HUA_clinecenter,0.556,HUA_brandwatch,-4.621,HUA
HUA_clinecenter,0.556,HUA_brandwatch,-4.621,HUA
HUA_clinecenter,0.556,HUA_brandwatch,-4.621,HUA
HUA_clinecenter,0.556,HUA_brandwatch,-4.621,HUA
HUA_clinecenter,0.0,HUA_brandwatch,-0.203,HUA
HUA_clinecenter,0.0,HUA_brandwatch,-0.203,HUA
HUA_clinecenter,0.0,HUA_brandwatch,-0.203,HUA
HUA_clinecenter,0.0,HUA_brandwatch,-0.203,HUA
HUA_clinecenter,-0.294,HUA_brandwatch,0.317,HUA
HUA_clinecenter,-0.294,HUA_brandwatch,0.317,HUA
HUA_clinecenter,-0.294,HUA_brandwatch,0.317,HUA
HUA_clinecenter,-0.294,HUA_brandwatch,0.317,HUA
HUA_clinecenter,0.581,HUA_brandwatch,-0.976,HUA
HUA_clinecenter,0.581,HUA_brandwatch,-0.976,HUA
HUA_clinecenter,0.581,HUA_brandwatch,-0.976,HUA
HUA_clinecenter,0.581,HUA_brandwatch,-0.976,HUA
HUA_clinecenter,-1.055,HUA_brandwatch,-3.239,HUA
HUA_clinecenter,-1.055,HUA_brandwatch,-3.239,HUA
HUA_clinecenter,-1.055,HUA_brandwatch,-3.239,HUA
HUA_clinecenter,-1.055,HUA_brandwatch,-3.239,HUA
HUA_clinecenter,0.6,HUA_brandwatch,-4.091,HUA
HUA_clinecenter,0.6,HUA_brandwatch,-4.091,HUA
HUA_clinecenter,0.6,HUA_brandwatch,-4.091,HUA
HUA_clinecenter,0.6,HUA_brandwatch,-4.091,HUA
HUA_clinecenter,0.833,HUA_brandwatch,0.6459999999999999,HUA
HUA_clinecenter,0.833,HUA_brandwatch,0.6459999999999999,HUA
HUA_clinecenter,0.833,HUA_brandwatch,0.6459999999999999,HUA
HUA_clinecenter,0.833,HUA_brandwatch,0.6459999999999999,HUA
HUA_clinecenter,3.0,HUA_brandwatch,0.193,HUA
HUA_clinecenter,3.0,HUA_brandwatch,0.193,HUA
HUA_clinecenter,3.0,HUA_brandwatch,0.193,HUA
HUA_clinecenter,3.0,HUA_brandwatch,0.193,HUA
HUA_clinecenter,-0.7140000000000001,HUA_brandwatch,-0.799,HUA
HUA_clinecenter,-0.7140000000000001,HUA_brandwatch,-0.799,HUA
HUA_clinecenter,-0.7140000000000001,HUA_brandwatch,-0.799,HUA
HUA_clinecenter,-0.7140000000000001,HUA_brandwatch,-0.799,HUA
HUA_clinecenter,1.032,HUA_brandwatch,-0.9620000000000001,HUA
HUA_clinecenter,1.032,HUA_brandwatch,-0.9620000000000001,HUA
HUA_clinecenter,1.032,HUA_brandwatch,-0.9620000000000001,HUA
HUA_clinecenter,1.032,HUA_brandwatch,-0.9620000000000001,HUA
HUA_clinecenter,0.9179999999999999,HUA_brandwatch,-0.633,HUA
HUA_clinecenter,0.9179999999999999,HUA_brandwatch,-0.633,HUA
HUA_clinecenter,0.9179999999999999,HUA_brandwatch,-0.633,HUA
HUA_clinecenter,0.9179999999999999,HUA_brandwatch,-0.633,HUA
HUA_clinecenter,2.576,HUA_brandwatch,-1.218,HUA
HUA_clinecenter,2.576,HUA_brandwatch,-1.218,HUA
HUA_clinecenter,2.576,HUA_brandwatch,-1.218,HUA
HUA_clinecenter,2.576,HUA_brandwatch,-1.218,HUA
HUA_clinecenter,0.22699999999999998,HUA_brandwatch,0.701,HUA
HUA_clinecenter,0.22699999999999998,HUA_brandwatch,0.701,HUA
HUA_clinecenter,0.22699999999999998,HUA_brandwatch,0.701,HUA
HUA_clinecenter,0.22699999999999998,HUA_brandwatch,0.701,HUA
HUA_clinecenter,1.25,HUA_brandwatch,-1.976,HUA
HUA_clinecenter,1.25,HUA_brandwatch,-1.976,HUA
HUA_clinecenter,1.25,HUA_brandwatch,-1.976,HUA
HUA_clinecenter,1.25,HUA_brandwatch,-1.976,HUA
HUA_clinecenter,-0.22699999999999998,HUA_brandwatch,-1.472,HUA
HUA_clinecenter,-0.22699999999999998,HUA_brandwatch,-1.472,HUA
HUA_clinecenter,-0.22699999999999998,HUA_brandwatch,-1.472,HUA
HUA_clinecenter,-0.22699999999999998,HUA_brandwatch,-1.472,HUA
HUA_clinecenter,-2.3280000000000003,HUA_brandwatch,-1.179,HUA
HUA_clinecenter,-2.3280000000000003,HUA_brandwatch,-1.179,HUA
HUA_clinecenter,-2.3280000000000003,HUA_brandwatch,-1.179,HUA
HUA_clinecenter,-2.3280000000000003,HUA_brandwatch,-1.179,HUA
HUA_clinecenter,-1.061,HUA_brandwatch,-1.19,HUA
HUA_clinecenter,-1.061,HUA_brandwatch,-1.19,HUA
HUA_clinecenter,-1.061,HUA_brandwatch,-1.19,HUA
HUA_clinecenter,-1.061,HUA_brandwatch,-1.19,HUA
HUA_clinecenter,1.97,HUA_brandwatch,1.05,HUA
HUA_clinecenter,1.97,HUA_brandwatch,1.05,HUA
HUA_clinecenter,1.97,HUA_brandwatch,1.05,HUA
HUA_clinecenter,1.97,HUA_brandwatch,1.05,HUA
HUA_clinecenter,1.857,HUA_brandwatch,-0.7559999999999999,HUA
HUA_clinecenter,1.857,HUA_brandwatch,-0.7559999999999999,HUA
